,,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL,,,SE1,DK1,Oslo,FI
1/1/2020,1,30.84,-1.73,-1.73,-1.73,-1.96,-1.73,-58.8,-42.66,-1.73,31.82,31.82,28.78,28.78,28.78,28.78,28.78,28.78,41.88,-115.31,-83.94,-75.82,41.88,,1,219.53,232.0464,115.9072,295.1504
1/1/2020,2,30.63,-1.36,-1.36,-1.36,-1.73,-1.36,-55.77,-42.1,-1.36,31.77,31.77,28.45,28.45,28.45,28.45,28.45,28.45,38.6,-91.37,-80.09,-66.47,38.6,,2,171.1464,219.53,108.2744,233.0324
1/1/2020,3,30.38,-0.93,-0.93,-0.93,-1.36,-0.93,-49.97,-33.59,-0.93,31.57,31.57,27.9,27.9,27.9,27.9,27.9,27.9,36.55,-90.13,-80.02,-48.17,36.55,,3,166.4948,171.8888,105.4904,232.0696
1/1/2020,4,30.04,-0.2,-0.2,-0.2,-0.93,-0.2,-49.94,-30.04,-0.09,31.28,31.28,27.52,27.52,27.52,27.52,27.52,27.52,32.32,-90,-79.74,-41.98,32.32,,4,162.922,151.4844,104.6204,231.9652
1/1/2020,5,29.56,-0.1,-0.1,-0.1,-0.2,-0.1,-48.2,-25,-0.04,30.72,30.72,27.54,27.54,27.54,27.54,27.54,27.54,30.85,-90,-78.15,-40.79,30.85,,5,159.4304,148.8396,104.5392,231.9536
1/1/2020,6,28.1,-0.09,-0.09,-0.09,-0.1,-0.09,-47,-15.04,0,30.27,30.27,26.55,26.55,26.55,26.55,26.55,26.55,30.14,-90,-78.09,-39.93,30.14,,6,156.1128,139.9192,104.4232,231.942
1/1/2020,7,27.57,-0.09,-0.09,-0.09,-0.09,-0.09,-40.26,-15.02,0.01,30.17,30.17,25.83,25.83,25.83,25.83,25.83,25.83,30.17,-90,-78,-33.05,30.17,,7,155.8344,132.24,104.2028,231.9304
1/1/2020,8,27.35,-0.07,-0.07,-0.07,-0.09,-0.07,-36.62,-14.9,0.02,30.14,30.14,25.07,25.07,25.07,25.07,25.07,25.07,30,-80.83,-74.97,-32.64,30,,8,151.4844,128.2496,103.8432,231.9188
1/1/2020,9,27.99,-0.04,-0.04,-0.04,-0.07,-0.04,-35.83,-13.76,0.03,30.49,30.49,25.65,25.65,25.65,25.65,25.65,25.65,30.65,-65.19,-74.97,-28.1,30.65,,9,145.2668,127.7508,97.4864,231.8956
1/1/2020,10,28.36,0,0,0,-0.04,0,-34.73,-12.18,0.04,30.59,30.59,26.15,26.15,26.15,26.15,26.15,26.15,30.65,-63.29,-74.97,-27.76,30.65,,10,113.9004,123.366,78.938,228.984
1/1/2020,11,28.45,0,0,0,0,0,-33.59,-11.63,0.04,30.27,30.27,26.77,26.77,26.77,26.77,26.77,26.77,30.27,-54.73,-70.1,-26.11,30.27,,11,111.9748,122.3336,71.2124,228.1024
1/1/2020,12,29.02,0.01,0.01,0.01,0,0.01,-33.58,-11.07,0.04,30.34,30.34,27.4,27.4,27.4,27.4,27.4,27.4,30.34,-52.71,-70.04,-25.09,30.34,,12,98.194,122.2872,66.0968,219.53
1/1/2020,13,29.4,0.04,0.04,0.04,0.01,0.04,-33.06,-11.02,0.05,30.59,30.59,28.08,28.08,28.08,28.08,28.08,28.08,30.99,-52.09,-69.99,-25.08,30.99,,13,95.9784,122.2756,64.0088,216.5488
1/1/2020,14,29.41,0.04,0.04,0.04,0.04,0.04,-30.04,-10.87,0.07,30.38,30.38,28.69,28.69,28.69,28.69,28.69,28.69,30.04,-44.85,-69.05,-24.9,30.04,,14,95.9436,122.264,63.5448,215.8528
1/1/2020,15,29.92,0.04,0.04,0.04,0.04,0.04,-30,-10,0.08,30.6,30.6,29.37,29.37,29.37,29.37,29.37,29.37,30.75,-44.59,-64.99,-23.12,30.75,,15,95.7812,117.16,59.8908,215.4816
1/1/2020,16,30.36,0.04,0.04,0.04,0.04,0.04,-29.96,-9.99,0.08,31.09,31.09,29.97,29.97,29.97,29.97,29.97,29.97,32.11,-44.51,-64.96,-22.96,32.11,,16,93.612,116.0696,59.4036,213.7996
1/1/2020,17,30.83,0.05,0.05,0.05,0.04,0.05,-29.9,-8.77,0.09,31.53,31.53,30.46,30.46,30.46,30.46,30.46,30.46,35.98,-40.72,-64.59,-21.77,35.98,,17,91.0484,113.8308,53.6964,202.9768
1/1/2020,18,30.91,0.06,0.06,0.06,0.05,0.06,-26.93,-7.98,0.09,31.78,31.78,30.39,30.39,30.39,30.39,30.39,30.39,40.4,-40,-64.55,-21.15,40.4,,18,91.0136,112.114,45.5764,202.9072
1/1/2020,19,30.79,0.07,0.07,0.07,0.06,0.07,-26.68,-7.92,0.12,31.64,31.64,30.06,30.06,30.06,30.06,30.06,30.06,44.05,-39.21,-63.06,-21.06,44.05,,19,90.132,111.9748,39.3008,202.9072
1/1/2020,20,30.47,0.08,0.08,0.08,0.07,0.08,-25,-7.9,0.12,31.44,31.44,29.38,29.38,29.38,29.38,29.38,29.38,44.04,-38.87,-63.04,-20.4,38.69,,20,88.16,111.8588,37.5144,202.8956
1/1/2020,21,30.02,0.08,0.08,0.08,0.08,0.08,-24.08,-7.72,0.13,31.35,31.35,27.65,27.65,27.65,27.65,27.65,27.65,43.62,-35.48,-63.02,-19.17,42.62,,21,86.7332,111.8588,37.1664,185.1128
1/1/2020,22,29.52,0.09,0.09,0.09,0.08,0.09,-22.16,-7.26,0.13,31.07,31.07,27.33,27.33,27.33,27.33,27.33,27.33,40.68,-35.31,-58.8,-18.57,40.68,,22,86.2344,110.4204,36.9228,173.9304
1/1/2020,23,28.28,0.09,0.09,0.09,0.09,0.09,-19.95,-6.87,0.2,30.96,30.96,25.88,25.88,25.88,25.88,25.88,25.88,40.38,-35,-57.74,-17.79,39.68,,23,85.4804,108.9704,36.9112,173.884
1/1/2020,24,27.79,0.1,0.1,0.1,0.09,0.1,-19.84,-6.83,0.23,30.61,30.61,24.81,24.81,24.81,24.81,24.81,24.81,35.34,-33.59,-55.62,-16.97,31.47,,24,85.4456,108.5296,36.8764,171.6452
2/1/2020,25,26.96,0.11,0.11,0.11,0.1,0.11,-19.79,-6.78,0.23,30.78,30.78,12.07,12.07,12.07,12.07,12.07,12.07,35.4,-33.19,-55.05,-16.52,35.4,,25,84.2276,107.996,36.8648,171.622
2/1/2020,26,27.04,0.11,0.11,0.11,0.11,0.11,-19.09,-6.39,0.23,30.64,30.64,13.13,13.13,13.13,13.13,13.13,13.13,31.98,-33.05,-54.97,-14.91,31.98,,26,82.766,107.8684,36.8532,171.5988
2/1/2020,27,27.03,0.12,0.12,0.12,0.11,0.12,-18.86,-6.33,0.24,30.43,30.43,19.07,19.07,19.07,19.07,19.07,19.07,30.5,-32.46,-50.26,-14.65,30.5,,27,82.4296,107.2768,36.8416,171.5756
2/1/2020,28,26.54,0.12,0.12,0.12,0.12,0.12,-17.6,-6.31,0.28,29.84,29.84,21.12,21.12,21.12,21.12,21.12,21.12,28.79,-32,-49.94,-14.63,28.79,,28,82.0816,106.1864,36.83,171.1464
2/1/2020,29,27.14,0.13,0.13,0.13,0.12,0.13,-16.18,-5.98,0.34,29.9,29.9,24.29,24.29,24.29,24.29,24.29,24.29,28.95,-29.33,-48.17,-13.87,28.42,,29,81.2116,105.3396,36.8184,166.4948
2/1/2020,30,28.2,0.13,0.13,0.13,0.13,0.13,-15.04,-5.98,0.39,30.44,30.44,26.27,26.27,26.27,26.27,26.27,26.27,31.02,-28.78,-45.3,-13.52,28.75,,30,80.968,104.6204,36.8184,162.922
2/1/2020,31,30.24,0.14,0.14,0.14,0.13,0.14,-15.02,-5.91,0.42,31.68,31.68,27.74,27.74,27.74,27.74,27.74,27.74,34.16,-28.2,-45.05,-13.5,34.16,,31,80.6664,104.4,36.7488,159.4304
2/1/2020,32,30.63,0.27,0.27,0.27,0.14,0.27,-14.99,-5.21,0.43,31.79,31.79,28.39,28.39,28.39,28.39,28.39,28.39,42.07,-28.18,-44.97,-13.45,42.07,,32,80.5736,104.4,36.7024,156.1128
2/1/2020,33,30.92,0.34,0.34,0.34,0.27,0.34,-14.91,-5.19,0.43,31.83,31.83,29.37,29.37,29.37,29.37,29.37,29.37,44.89,-28.01,-44.25,-13.27,44.89,,33,80.504,104.2956,36.6908,155.8344
2/1/2020,34,30.99,0.42,0.42,0.42,0.34,0.42,-14.9,-5.09,0.43,31.74,31.74,29.95,29.95,29.95,29.95,29.95,29.95,45.26,-27.79,-39.94,-11.98,45.26,,34,80.3416,104.2028,36.656,152.4588
2/1/2020,35,30.87,0.43,0.43,0.43,0.42,0.43,-14.54,-5,0.45,31.63,31.63,29.91,29.91,29.91,29.91,29.91,29.91,45.57,-27.68,-39.9,-11.79,45.57,,35,80.156,104.0288,36.6328,151.4844
2/1/2020,36,30.75,0.43,0.43,0.43,0.43,0.43,-13.87,-5,0.45,31.32,31.32,29.96,29.96,29.96,29.96,29.96,29.96,45.09,-27.44,-39.49,-11.19,45.09,,36,79.2744,102.1844,36.6212,149.5124
2/1/2020,37,30.67,0.43,0.43,0.43,0.43,0.43,-13.76,-4.97,0.46,31.07,31.07,29.94,29.94,29.94,29.94,29.94,29.94,45.16,-27.06,-39.46,-10.79,45.16,,37,78.7292,101.9292,36.598,146.6588
2/1/2020,38,30.65,0.45,0.45,0.45,0.43,0.45,-13.5,-4.96,0.46,31.06,31.06,29.94,29.94,29.94,29.94,29.94,29.94,44.9,-25,-38.48,-10.78,44.9,,38,77.9288,100.7112,36.5748,145.2668
2/1/2020,39,30.76,0.46,0.46,0.46,0.45,0.46,-13.45,-4.95,0.5,31.07,31.07,30.18,30.18,30.18,30.18,30.18,30.18,44.06,-24.98,-36.97,-10.08,44.06,,39,77.5228,100.3748,36.5748,144.9188
2/1/2020,40,31.08,0.46,0.46,0.46,0.46,0.46,-13.38,-4.92,0.52,31.26,31.26,30.96,30.96,30.96,30.96,30.96,30.96,44.91,-21.98,-36.63,-9.96,43.63,,40,77.5112,100.224,36.4704,140.3948
2/1/2020,41,31.25,0.46,0.46,0.46,0.46,0.46,-13.3,-4.91,0.52,31.41,31.41,31.2,31.2,31.2,31.2,31.2,31.2,44.4,-21.77,-35.51,-8.65,44.39,,41,77.3952,98.8784,36.4356,139.1304
2/1/2020,42,31.18,0.5,0.5,0.5,0.46,0.5,-12.92,-4.11,0.53,31.4,31.4,30.98,30.98,30.98,30.98,30.98,30.98,46.05,-19.95,-33.8,-8.44,46.05,,42,77.2792,98.6,36.424,139.1188
2/1/2020,43,30.78,0.51,0.51,0.51,0.5,0.51,-12.9,-4,0.54,31.1,31.1,30.35,30.35,30.35,30.35,30.35,30.35,46.72,-19.9,-33.67,-7.97,46.72,,43,76.7456,98.542,36.366,138.0864
2/1/2020,44,30.21,0.57,0.57,0.57,0.51,0.57,-12.45,-3.98,0.55,30.75,30.75,29.27,29.27,29.27,29.27,29.27,29.27,45.47,-19.23,-32.14,-7.75,44.62,,44,76.2816,98.194,36.3312,128.122
2/1/2020,45,29.47,0.59,0.59,0.59,0.57,0.59,-12.18,-3.97,0.56,30.47,30.47,28.17,28.17,28.17,28.17,28.17,28.17,43.97,-19,-31.95,-7.72,34.9,,45,75.9452,97.904,36.3196,126.8112
2/1/2020,46,28.91,0.6,0.6,0.6,0.59,0.6,-12.11,-3.46,0.58,30.1,30.1,28.02,28.02,28.02,28.02,28.02,28.02,41.94,-18.57,-30.98,-7.68,34.19,,46,75.864,97.846,36.308,126.5676
2/1/2020,47,28.39,0.62,0.62,0.62,0.6,0.66,-12.1,-3.38,0.58,29.71,29.71,27.69,27.69,27.69,27.69,27.69,27.69,40.94,-18.29,-30.29,-6.72,32.39,,47,75.4348,97.4864,36.2848,126.3936
2/1/2020,48,25.9,0.66,0.66,0.66,0.62,0.67,-11.63,-3.06,0.59,28.32,28.32,24.39,24.39,24.39,24.39,24.39,24.39,31.07,-17.39,-29.98,-6.24,28.83,,48,75.342,97.0572,36.2616,125.9064
3/1/2020,49,24.26,0.67,0.67,0.67,0.66,0.69,-11.16,-2.75,0.6,28.35,28.35,18.93,18.93,18.93,18.93,18.93,18.93,29.1,-17.02,-29.7,-5.98,27.44,,49,75.11,96.164,36.25,125.164
3/1/2020,50,23,0.69,0.69,0.69,0.67,0.71,-11.07,-2.68,0.6,28.25,28.25,9.98,9.98,9.98,9.98,9.98,9.98,29.05,-16.55,-29.05,-5.91,27.7,,50,74.0892,95.9436,36.2268,124.6768
3/1/2020,51,20.04,0.71,0.71,0.71,0.69,0.72,-11.02,-2.66,0.62,28.24,28.24,1.53,1.53,1.53,1.53,1.53,1.53,29.03,-15.45,-27.53,-5.79,27.51,,51,73.6716,94.7256,36.2152,122.3336
3/1/2020,52,14.34,0.72,0.72,0.72,0.71,0.72,-10.87,-2.66,0.62,27.72,27.72,1.04,1.04,1.04,0.14,0.14,0.14,28.5,-14.91,-26.97,-5.72,24.79,,52,73.3004,94.0412,36.2036,122.2872
3/1/2020,53,17.06,0.72,0.72,0.72,0.72,0.77,-10.48,-2.58,0.63,27.71,27.71,1.06,1.06,1.06,0.85,0.85,0.85,29,-14.54,-26.93,-5.58,22.4,,53,72.7204,93.9368,36.1804,122.2756
3/1/2020,54,20.96,0.74,0.74,0.74,0.72,0.79,-10.08,-2.44,0.65,28.09,28.09,9.92,9.92,9.92,9.92,9.92,9.92,33.69,-14.49,-26,-5.58,25.98,,54,72.4188,93.612,36.1688,122.264
3/1/2020,55,26.69,0.76,0.76,0.76,0.74,0.79,-9.99,-2.4,0.66,28.78,28.78,24.48,24.48,24.48,30.01,30.01,30.01,40.92,-13.87,-25.1,-5.28,30.99,,55,72.3144,93.4032,36.1456,119.1552
3/1/2020,56,27.65,0.77,0.77,0.77,0.76,0.8,-9.8,-2.35,0.66,28.82,28.82,26.68,26.68,26.68,38.89,38.89,38.89,43.09,-13.5,-25.04,-5.09,29.78,,56,72.268,93.1944,36.134,118.32
3/1/2020,57,28.81,0.79,0.79,0.79,0.77,0.81,-9.43,-2.06,0.67,29.26,29.26,28.12,28.12,28.12,28.12,28.12,28.12,43.1,-13.45,-25,-5,40.54,,57,71.3864,92.8348,36.0992,117.1948
3/1/2020,58,29.22,0.79,0.79,0.79,0.79,0.81,-9.25,-1.96,0.69,29.66,29.66,28.58,28.58,28.58,28.58,28.58,28.58,44.2,-13.3,-24.97,-4.95,45.76,,58,71.2704,92.6144,36.076,117.16
3/1/2020,59,29.34,0.8,0.8,0.8,0.79,0.82,-9.08,-1.94,0.69,29.92,29.92,28.16,28.16,28.16,30.04,30.04,30.04,43.02,-12.04,-24.65,-4.82,47.67,,59,71.1892,92.5796,36.076,115.9536
3/1/2020,60,29.81,0.81,0.81,0.81,0.8,0.82,-8.77,-1.77,0.69,30.36,30.36,28.78,28.78,28.78,30.02,30.02,30.02,42.95,-11.98,-24.08,-4.75,49.17,,60,70.8528,92.4752,36.0644,115.9304
3/1/2020,61,29.72,0.81,0.81,0.81,0.81,0.83,-8.6,-1.73,0.69,30.39,30.39,28.31,28.31,28.31,30.03,30.03,30.03,42.49,-11.74,-23.71,-4.6,44.91,,61,70.8412,92.4056,36.0528,115.9072
3/1/2020,62,29.67,0.82,0.82,0.82,0.81,0.83,-7.99,-1.71,0.7,30.24,30.24,28.44,28.44,28.44,30.02,30.02,30.02,42.97,-11.29,-23.12,-3.99,39.7,,62,70.6092,91.8256,36.0412,115.6172
3/1/2020,63,29.8,0.82,0.82,0.82,0.82,0.85,-7.98,-1.67,0.7,30.19,30.19,28.96,28.96,28.96,28.96,28.96,28.96,42.8,-10.79,-21.99,-3.82,39.04,,63,70.4236,91.7096,36.0412,113.9004
3/1/2020,64,30.14,0.83,0.83,0.83,0.82,0.87,-7.92,-1.36,0.71,30.4,30.4,29.86,29.86,29.86,29.86,29.86,29.86,42.33,-9.88,-21.35,-3.46,38.4,,64,69.774,91.6052,36.0412,111.9748
3/1/2020,65,30.32,0.83,0.83,0.83,0.83,0.88,-7.77,-1.13,0.72,30.48,30.48,30.15,30.15,30.15,30.15,30.15,30.15,41.98,-9.69,-21.02,-3.33,38.91,,65,69.4028,91.2804,36.0296,111.8588
3/1/2020,66,30.26,0.85,0.85,0.85,0.83,0.88,-7.72,-1.13,0.72,30.44,30.44,30.07,30.07,30.07,30.07,30.07,30.07,41.63,-9.57,-20.88,-3.21,47.45,,66,69.2172,91.2688,36.0296,110.4204
3/1/2020,67,29.89,0.86,0.86,0.86,0.85,0.89,-7.51,-0.94,0.72,30.16,30.16,29.54,29.54,29.54,29.54,29.54,29.54,42.85,-9.43,-20.8,-2.93,49.84,,67,69.1592,90.7932,35.9136,109.3184
3/1/2020,68,29.4,0.86,0.86,0.86,0.86,0.89,-7.26,-0.93,0.72,29.75,29.75,29.11,29.11,29.11,29.11,29.11,29.11,37.02,-9.27,-20.51,-2.69,45.75,,68,68.8692,90.7468,35.9136,108.9704
3/1/2020,69,28.41,0.87,0.87,0.87,0.86,0.89,-7.22,-0.87,0.73,28.98,28.98,27.91,27.91,27.91,36.76,36.76,36.76,41.91,-8.65,-20.37,-2.35,44.48,,69,68.7996,90.4916,35.9136,108.7964
3/1/2020,70,27.41,0.87,0.87,0.87,0.87,0.9,-6.87,-0.75,0.73,28.26,28.26,27.03,27.03,27.03,27.03,27.03,27.03,36.01,-8.42,-20.22,-2.24,33,,70,68.4516,90.4568,35.902,108.5296
3/1/2020,71,26.3,0.88,0.88,0.88,0.87,0.93,-6.87,-0.71,0.73,28.17,28.17,25.7,25.7,25.7,25.7,25.7,25.7,36.03,-8.37,-20.01,-1.71,38.38,,71,68.3704,90.3756,35.902,108.344
3/1/2020,72,24.94,0.88,0.88,0.88,0.88,0.93,-6.83,-0.7,0.74,28.36,28.36,22.04,22.04,22.04,22.04,22.04,22.04,31.03,-8,-19.91,-1.42,34.3,,72,68.3588,90.1088,35.8788,107.996
4/1/2020,73,25.58,0.89,0.89,0.89,0.88,0.93,-6.78,-0.69,0.75,28.67,28.67,21.73,21.73,21.73,21.73,21.73,21.73,27.79,-7.88,-19.26,-1.37,32.99,,73,68.3588,90.0624,35.8672,107.0332
4/1/2020,74,25.29,0.89,0.89,0.89,0.89,0.94,-6.33,-0.64,0.76,28.66,28.66,20.44,20.44,20.44,15.95,15.95,15.95,28.07,-7.68,-19.21,-1.31,30.37,,74,68.2892,89.8188,35.844,107.0216
4/1/2020,75,25.12,0.89,0.89,0.89,0.89,0.94,-6.31,-0.59,0.76,28.61,28.61,20.16,20.16,20.16,16.23,16.23,16.23,26.09,-6.74,-18.5,-1.1,29.56,,75,67.5352,89.5288,35.8208,105.2816
4/1/2020,76,23.33,0.9,0.9,0.9,0.89,0.94,-5.98,-0.39,0.77,27.94,27.94,19.62,19.62,19.62,20,20,20,25.82,-6.15,-17.01,-0.93,27.05,,76,66.4564,89.2736,35.7744,104.7016
4/1/2020,77,22.37,0.93,0.93,0.93,0.9,0.94,-5.98,-0.38,0.77,27.57,27.57,19.03,19.03,19.03,4.04,4.04,4.04,26.01,-5.98,-16.98,-0.92,25.2,,77,66.352,89.0068,35.7628,104.632
4/1/2020,78,21.91,0.93,0.93,0.93,0.93,0.95,-5.91,-0.38,0.78,27.47,27.47,18.9,18.9,18.9,4.03,4.03,4.03,28.04,-5.92,-16.95,-0.78,24.52,,78,66.12,88.7168,35.7164,104.6204
4/1/2020,79,21.95,0.93,0.93,0.93,0.93,0.95,-5.82,-0.31,0.78,27.76,27.76,19.74,19.74,19.74,4.04,4.04,4.04,28.02,-5.91,-16.95,-0.7,25.03,,79,66.062,88.6124,35.7048,104.4
4/1/2020,80,24.99,0.93,0.93,0.93,0.93,0.95,-5.73,-0.19,0.79,28.09,28.09,21.55,21.55,21.55,19.07,19.07,19.07,23.79,-5.31,-16.76,-0.21,27.28,,80,66.004,88.16,35.67,104.2028
4/1/2020,81,25.29,0.93,0.93,0.93,0.93,0.95,-5.68,-0.1,0.79,28.57,28.57,22.34,22.34,22.34,17.49,17.49,17.49,24.52,-5.2,-16.18,-0.1,30,,81,65.7604,88.0672,35.6352,104.0288
4/1/2020,82,26.56,0.93,0.93,0.93,0.93,0.96,-5.65,-0.09,0.79,28.71,28.71,24.18,24.18,24.18,24.18,24.18,24.18,30.41,-5.08,-16.16,-0.09,36.41,,82,65.6444,87.7192,35.6236,102.892
4/1/2020,83,26.69,0.93,0.93,0.93,0.93,0.97,-5.29,-0.09,0.8,28.82,28.82,24.94,24.94,24.94,24.94,24.94,24.94,41.06,-5.07,-15.89,-0.09,30,,83,65.598,87.29,35.6236,102.1844
4/1/2020,84,27.01,0.93,0.93,0.93,0.93,0.98,-5.29,-0.08,0.8,28.84,28.84,25.11,25.11,25.11,25.11,25.11,25.11,41.06,-5,-15.8,-0.09,30,,84,65.5864,87.2668,35.612,100.7112
4/1/2020,85,26.67,0.94,0.94,0.94,0.93,0.99,-5.21,-0.04,0.8,28.79,28.79,24.94,24.94,24.94,24.94,24.94,24.94,40.85,-5,-15.47,-0.05,35,,85,65.4588,87.2552,35.5772,100.4676
4/1/2020,86,26.58,0.94,0.94,0.94,0.94,1.01,-5.19,-0.03,0.8,28.76,28.76,24.95,24.95,24.95,29.8,29.8,29.8,40,-4.98,-15.24,-0.04,32.07,,86,65.424,87,35.5424,100.3748
4/1/2020,87,26.8,0.94,0.94,0.94,0.94,1.02,-5.1,-0.02,0.81,28.79,28.79,25.25,25.25,25.25,25.25,25.25,25.25,40,-4.98,-15.11,-0.02,36.8,,87,65.134,86.8492,35.5076,100.282
4/1/2020,88,27.4,0.94,0.94,0.94,0.94,1.02,-5.09,-0.01,0.81,28.9,28.9,26.33,26.33,26.33,43.14,43.14,43.14,35.97,-4.94,-14.93,-0.02,34.09,,88,65.0296,86.8144,35.496,99.8876
4/1/2020,89,28.36,0.95,0.95,0.95,0.94,1.03,-5,-0.01,0.81,29.01,29.01,27.36,27.36,27.36,41.1,41.1,41.1,33.1,-4.75,-14.91,-0.02,34.5,,89,64.96,85.9676,35.4844,99.8528
4/1/2020,90,28.91,0.95,0.95,0.95,0.95,1.07,-5,0,0.81,29.06,29.06,28.88,28.88,28.88,38,38,38,34.2,-4.39,-14.9,-0.02,45,,90,64.5424,85.8052,35.4844,99.8412
4/1/2020,91,29.47,0.95,0.95,0.95,0.95,1.07,-4.97,0,0.82,29.58,29.58,29.58,29.58,29.09,37.96,37.96,37.96,36.95,-4.22,-14.54,-0.02,44.52,,91,64.5076,85.6196,35.4728,99.1452
4/1/2020,92,29.51,0.95,0.95,0.95,0.95,1.08,-4.96,0,0.82,29.58,29.58,29.42,29.42,29.01,29.85,29.85,29.85,39.77,-4.02,-13.87,-0.01,45.94,,92,63.9856,85.5036,35.4612,99.0756
4/1/2020,93,29.24,0.96,0.96,0.96,0.95,1.1,-4.95,0,0.82,29.96,29.96,27.71,27.71,27.71,27.71,27.71,27.71,34.85,-3.82,-13.64,-0.01,41.7,,93,63.858,85.4804,35.4264,98.8784
4/1/2020,94,29.21,0.97,0.97,0.97,0.96,1.11,-4.91,0.01,0.82,30.05,30.05,27.4,27.4,27.4,27.4,27.4,27.4,34.46,-3.46,-13.5,0,34.46,,94,63.6956,84.9004,35.38,98.542
4/1/2020,95,29.07,0.98,0.98,0.98,0.97,1.11,-4.59,0.01,0.82,30.09,30.09,27.37,27.37,27.37,27.37,27.37,27.37,39.75,-3.07,-13.45,0,39.75,,95,63.3476,84.8424,35.3684,98.194
4/1/2020,96,28.74,0.99,0.99,0.99,0.98,1.12,-4.44,0.01,0.82,30.83,30.83,25.77,25.77,25.77,25.77,25.77,25.77,37.95,-3.04,-12.9,0,37.95,,96,62.64,84.7844,35.3684,97.904
5/1/2020,97,29.43,1,1,1,0.99,1.12,-4.25,0.01,0.83,32.04,32.04,26.65,26.65,26.65,26.65,26.65,26.65,33.1,-2.85,-12.11,0.01,33.1,,97,62.3268,84.6916,35.3568,97.846
5/1/2020,98,29.39,1.01,1.01,1.01,1,1.14,-4.11,0.01,0.83,31.25,31.25,27.13,27.13,27.13,27.13,27.13,27.13,32.28,-2.41,-12.05,0.01,32.28,,98,61.8164,84.5988,35.3568,97.0572
5/1/2020,99,29.28,1.02,1.02,1.02,1.01,1.15,-4.07,0.01,0.83,30.96,30.96,27.11,27.11,27.11,27.11,27.11,27.11,31.18,-2.35,-11.98,0.02,31.18,,99,61.48,84.5524,35.3452,96.9412
5/1/2020,100,29.21,1.02,1.02,1.02,1.02,1.16,-4.01,0.02,0.83,30.24,30.24,27.42,27.42,27.42,27.42,27.42,27.42,30.1,-2.07,-11.84,0.02,30.1,,100,61.48,84.448,35.3104,96.164
5/1/2020,101,29.31,1.03,1.03,1.03,1.02,1.17,-4,0.02,0.84,29.96,29.96,28.06,28.06,27.84,28.06,28.06,28.06,29.96,-1.71,-11.7,0.02,29.96,,101,61.3988,84.39,35.3104,96.0596
5/1/2020,102,29.41,1.05,1.05,1.05,1.03,1.17,-3.98,0.02,0.84,29.89,29.89,28.85,28.85,27.88,28.85,28.85,28.85,29.88,-1.57,-11.16,0.02,29.88,,102,61.1204,84.2856,35.2988,95.9784
5/1/2020,103,29.83,1.07,1.07,1.07,1.05,1.18,-3.97,0.03,0.84,30.38,30.38,29.26,29.26,27.94,29.26,29.26,29.26,30.38,-1.42,-10.93,0.03,30.38,,103,60.784,84.2856,35.2872,95.9436
5/1/2020,104,30.2,1.07,1.07,1.07,1.07,1.21,-3.82,0.04,0.84,30.34,30.34,29.98,29.98,27.94,29.98,29.98,29.98,31.15,-1.37,-10.87,0.03,31.15,,104,60.784,84.0304,35.264,95.294
5/1/2020,105,30.95,1.08,1.08,1.08,1.07,1.21,-3.81,0.04,0.85,31.06,31.06,31.06,31.06,27.98,31.06,31.06,31.06,32.09,-1.31,-10.79,0.03,32.09,,105,60.6564,84.0188,35.2524,95.1896
5/1/2020,106,31.1,1.08,1.08,1.08,1.08,1.21,-3.46,0.04,0.85,31.18,31.18,31.18,31.18,28.93,31.18,31.18,31.18,34.27,-1.28,-10.48,0.04,34.27,,106,60.5752,83.6244,35.2408,95.1084
5/1/2020,107,31.4,1.08,1.08,1.08,1.08,1.22,-3.38,0.04,0.85,31.6,31.6,31.6,31.6,29.51,31.6,31.6,31.6,37.53,-1.19,-10.1,0.04,37.53,,107,60.5172,83.4272,35.2408,95.1084
5/1/2020,108,31.37,1.09,1.09,1.09,1.08,1.22,-3.16,0.04,0.85,31.55,31.55,31.55,31.55,29.59,37.14,37.14,37.14,38.99,-1.14,-9.96,0.05,38.99,,108,60.262,83.3576,35.2176,94.7256
5/1/2020,109,31.17,1.1,1.1,1.1,1.09,1.22,-3.06,0.05,0.85,31.22,31.22,31.22,31.22,29.75,37.71,37.71,37.71,38.15,-1.02,-9.94,0.05,38.15,,109,59.9952,83.056,35.1944,94.1108
5/1/2020,110,30.86,1.1,1.1,1.1,1.1,1.23,-3.05,0.05,0.85,30.93,30.93,30.93,30.93,29.86,37.81,37.81,37.81,35.37,-0.97,-9.83,0.05,35.37,,110,59.9372,82.4876,35.1944,93.9948
5/1/2020,111,30.61,1.11,1.11,1.11,1.1,1.24,-2.97,0.05,0.86,30.67,30.67,30.67,30.67,29.92,37.73,37.73,37.73,34.44,-0.93,-8.8,0.06,34.44,,111,59.8328,81.7568,35.1248,93.6236
5/1/2020,112,30.74,1.11,1.11,1.11,1.11,1.25,-2.75,0.05,0.86,30.79,30.79,30.79,30.79,29.99,37.69,37.69,37.69,36.1,-0.81,-8.79,0.07,36.1,,112,59.8328,81.6872,35.1132,93.612
